"Strategy Name";"Filters result";"Net profit (IS)";"Net profit (OOS)";"Profit factor (IS)";"Profit factor (OOS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Stability (IS)";"Stability (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Edge Ratio (IS)";"Edge Ratio (OOS)";"Fitness (IS)";"Fitness (OOS)";"Ret/DD Ratio (IS)";"Ret/DD Ratio (OOS)";"Avg. Trades Per Month";"Win/Loss ratio (IS)";"Win/Loss ratio (OOS)";"Complexity (IS)";"Degrees of freedom (IS)";"Kelly formula (IS)";"Kelly formula (OOS)";"SQN Score (IS)";"SQN Score (OOS)";"EquityAngle";"EquitySlope"
"Strategy 2.15.166";"PASSED";"234.99";"0.0";"1.09";"0.0";"95.1";"60.89";"0.56";"0.0";"0.0";"0.0";"1.44";"0.0";"0.31";"0.0";"0.22";"0.0";"2.35";"0.7";"0.0";"11";"62";"3.39";"0.0";"0.05";"0.0";"13.91";"0.14"
"Strategy 3.12.150";"PASSED";"1040.76";"0.0";"1.19";"0.0";"110.89";"82.12";"0.63";"0.0";"0.0";"0.0";"1.28";"0.0";"0.57";"0.0";"1.84";"0.0";"4.06";"0.88";"0.0";"11";"115";"7.45";"0.0";"0.18";"0.0";"47.76";"34.39"
"Strategy 4.19.183";"PASSED";"1830.24";"0.0";"1.7";"0.0";"105.86";"72.66";"0.87";"0.0";"0.0";"0.0";"2.04";"0.0";"0.7";"0.0";"6.16";"0.0";"2.52";"1.17";"0.0";"16";"62";"22.16";"0.0";"0.43";"0.0";"62.74";"58.35"
"Strategy 3.13.127";"PASSED";"972.9";"0.0";"1.22";"0.0";"90.12";"79.18";"0.75";"0.0";"0.0";"0.0";"1.27";"0.0";"0.57";"0.0";"1.77";"0.0";"3.74";"1.07";"0.0";"12";"104";"9.3";"0.0";"0.18";"0.0";"45.77";"37.53"
"Strategy 4.13.129";"PASSED";"580.41";"0.0";"1.33";"0.0";"45.49";"36.24";"0.55";"0.0";"0.0";"0.0";"1.67";"0.0";"0.48";"0.0";"1.21";"0.0";"3.19";"1.06";"0.0";"11";"88";"12.89";"0.0";"0.38";"0.0";"31.5";"11.02"
"Strategy 2.23.124";"PASSED";"496.62";"0.0";"1.31";"0.0";"64.12";"46.26";"0.55";"0.0";"0.0";"0.0";"1.16";"0.0";"0.39";"0.0";"0.71";"0.0";"2.19";"0.94";"0.0";"13";"55";"11.39";"0.0";"0.13";"0.0";"27.67";"12.17"
"Strategy 1.1.140";"PASSED";"1319.85";"0.0";"1.65";"0.0";"111.56";"67.57";"0.68";"0.0";"0.0";"0.0";"1.61";"0.0";"0.58";"0.0";"2.99";"0.0";"1.94";"1.0";"0.0";"10";"50";"19.72";"0.0";"0.21";"0.0";"55.53";"46.09"
"Strategy 3.14.122";"PASSED";"1825.11";"0.0";"1.4";"0.0";"128.09";"84.8";"0.8";"0.0";"0.0";"0.0";"1.34";"0.0";"0.6";"0.0";"2.24";"0.0";"3.35";"0.93";"0.0";"10";"94";"13.7";"0.0";"0.26";"0.0";"63.02";"51.05"
"Strategy 3.16.134";"PASSED";"2117.7";"0.0";"1.45";"0.0";"121.11";"89.7";"0.76";"0.0";"0.0";"0.0";"1.39";"0.0";"0.68";"0.0";"3.64";"0.0";"3.48";"1.08";"0.0";"9";"99";"16.19";"0.0";"0.28";"0.0";"66.0";"56.1"
"Strategy 2.18.147";"PASSED";"1351.08";"0.0";"1.45";"0.0";"90.04";"59.42";"0.74";"0.0";"0.0";"0.0";"1.59";"0.0";"0.62";"0.0";"3.18";"0.0";"3.16";"0.96";"0.0";"11";"87";"15.31";"0.0";"0.5";"0.0";"55.09";"41.32"
"Strategy 2.20.168";"PASSED";"1395.72";"0.0";"1.39";"0.0";"112.05";"72.13";"0.71";"0.0";"0.0";"0.0";"1.63";"0.0";"0.62";"0.0";"3.13";"0.0";"3.03";"0.9";"0.0";"10";"84";"13.39";"0.0";"0.43";"0.0";"55.9";"44.72"
"Strategy 2.14.179";"PASSED";"962.19";"0.0";"1.4";"0.0";"95.83";"59.8";"0.67";"0.0";"0.0";"0.0";"1.81";"0.0";"0.55";"0.0";"2.01";"0.0";"2.42";"0.88";"0.0";"11";"64";"13.39";"0.0";"0.24";"0.0";"45.4";"25.42"
"Strategy 3.20.147";"PASSED";"32.04";"0.0";"1.01";"0.0";"66.06";"70.95";"0.35";"0.0";"0.0";"0.0";"1.01";"0.0";"0.28";"0.0";"0.03";"0.0";"4.1";"1.08";"0.0";"11";"116";"0.38";"0.0";"0.01";"0.0";"1.98";"0.5"
"Strategy 3.22.174";"PASSED";"974.97";"0.0";"1.14";"0.0";"127.03";"111.56";"0.66";"0.0";"0.0";"0.0";"1.2";"0.0";"0.47";"0.0";"0.91";"0.0";"4.06";"1.0";"0.0";"9";"117";"6.09";"0.0";"0.16";"0.0";"45.83";"26.58"
"Strategy 3.1.142";"PASSED";"1946.25";"0.0";"1.41";"0.0";"120.72";"67.05";"0.7";"0.0";"0.0";"0.0";"1.67";"0.0";"0.58";"0.0";"1.93";"0.0";"4.03";"0.79";"0.0";"10";"115";"12.9";"0.0";"0.33";"0.0";"64.48";"43.2"
"Strategy 3.15.181";"PASSED";"943.47";"0.0";"1.26";"0.0";"89.05";"73.74";"0.67";"0.0";"0.0";"0.0";"1.33";"0.0";"0.47";"0.0";"0.9";"0.0";"3.29";"1.04";"0.0";"14";"88";"10.39";"0.0";"0.18";"0.0";"45.29";"21.74"
"Strategy 3.7.168";"PASSED";"988.65";"0.0";"1.38";"0.0";"100.09";"74.7";"0.6";"0.0";"0.0";"0.0";"1.24";"0.0";"0.5";"0.0";"1.42";"0.0";"2.29";"1.03";"0.0";"9";"62";"13.91";"0.0";"0.21";"0.0";"48.33";"43.01"
"Strategy 2.11.145";"PASSED";"148.77";"0.0";"1.05";"0.0";"85.96";"49.49";"0.52";"0.0";"0.0";"0.0";"1.6";"0.0";"0.32";"0.0";"0.19";"0.0";"3.26";"0.6";"0.0";"9";"92";"1.71";"0.0";"0.01";"0.0";"9.05";"1.9"
"Strategy 3.15.102";"PASSED";"2344.05";"0.0";"2.24";"0.0";"103.16";"69.84";"0.79";"0.0";"0.0";"0.0";"1.49";"0.0";"0.67";"0.0";"6.43";"0.0";"2.19";"1.52";"0.0";"9";"59";"33.41";"0.0";"0.45";"0.0";"68.42";"62.95"
"Strategy 2.13.136";"PASSED";"502.2";"0.0";"1.07";"0.0";"78.83";"89.58";"0.72";"0.0";"0.0";"0.0";"1.19";"0.0";"0.47";"0.0";"0.66";"0.0";"5.58";"1.22";"0.0";"12";"161";"3.68";"0.0";"0.15";"0.0";"27.89";"17.57"
"Strategy 4.13.138";"PASSED";"799.83";"0.0";"1.26";"0.0";"69.74";"66.08";"0.55";"0.0";"0.0";"0.0";"1.47";"0.0";"0.53";"0.0";"1.37";"0.0";"3.32";"1.19";"0.0";"16";"87";"11.13";"0.0";"0.17";"0.0";"40.36";"26.64"
